Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
899932~113-R5	899932~113-R5~J5-PDC~WES.variants.maf	1230	164	175	0.78	0.88	0.88	0.88
899932~113-R6	899932~113-R6~J3-PDC~WES.variants.maf	1230	130	209	0.78	0.9	0.85	0.88
899932~113-R6	899932~113-R6~J10-PDC~WES.variants.maf	1239	121	171	0.81	0.91	0.88	0.89
899932~113-R7	899932~113-R7~J1-PDC~WES.variants.maf	1201	163	159	0.79	0.88	0.88	0.88
899932~113-R8	899932~113-R8~J4-PDC~WES.variants.maf	1235	154	159	0.8	0.89	0.89	0.89
911461~104-R	911461~104-R~J1-PDC~WES.variants.maf	1126	168	194	0.76	0.87	0.85	0.86
919269~233-R3	919269~233-R3~J1-PDC~WES.variants.maf	1100	178	187	0.75	0.86	0.85	0.86
919269~233-R4	919269~233-R4~J7-PDC~WES.variants.maf	1037	206	257	0.69	0.83	0.8	0.82
926638~142-R	926638~142-R~J1-PDC~WES.variants.maf	1376	257	487	0.65	0.84	0.74	0.79
936559~144-R	936559~144-R~J1-PDC~WES.variants.maf	1025	312	198	0.67	0.77	0.84	0.8
941728~121-R	941728~121-R~J1-PDC~WES.variants.maf	1003	248	376	0.62	0.8	0.73	0.76
942848~086-R	942848~086-R~J1-PDC~WES.variants.maf	1103	217	234	0.71	0.84	0.82	0.83
947758~054-R	947758~054-R~J2-PDC~WES.variants.maf	2085	328	611	0.69	0.86	0.77	0.82
949626~316-R	949626~316-R~J1-PDC~WES.variants.maf	983	268	214	0.67	0.79	0.82	0.8
975524~054-R	975524~054-R~J1-PDC~WES.variants.maf	987	259	192	0.69	0.79	0.84	0.81
981439~253-R	981439~253-R~J1-PDC~WES.variants.maf	1035	272	353	0.62	0.79	0.75	0.77
987419~145-R	987419~145-R~J2-PDC~WES.variants.maf	1008	270	249	0.66	0.79	0.8	0.8
989133~093-R	989133~093-R~J1-PDC~WES.variants.maf	1089	271	203	0.7	0.8	0.84	0.82
992656~260-R	992656~260-R~J1-PDC~WES.variants.maf	1062	250	224	0.69	0.81	0.83	0.82
993429~296-R	993429~296-R~J1-PDC~WES.variants.maf	1108	288	202	0.69	0.79	0.85	0.82
997726~040-R	997726~040-R~J2-PDC~WES.variants.maf	1300	360	323	0.66	0.78	0.8	0.79
