Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
813916~060-R	813916~060-R.maf	1599	86	818	0.64	0.95	0.66	0.78
814844~326-R	814844~326-R.maf	1275	96	477	0.69	0.93	0.73	0.82
817829~284-R	817829~284-R.maf	2782	181	1375	0.64	0.94	0.67	0.78
819968~124-R2	819968~124-R2.maf	1163	122	556	0.63	0.91	0.68	0.77
821394~179-R	821394~179-R.maf	1041	185	680	0.55	0.85	0.6	0.71
823721~103-R	823721~103-R.maf	1160	189	562	0.61	0.86	0.67	0.76
824345~141-R	824345~141-R.maf	1063	119	818	0.53	0.9	0.57	0.69
825966~067-R	825966~067-R.maf	2821	304	1498	0.61	0.9	0.65	0.76
825997~103-R	825997~103-R.maf	1135	221	789	0.53	0.84	0.59	0.69
827475~031-R6	827475~031-R6.maf	1298	92	636	0.64	0.93	0.67	0.78
834989~109-R	834989~109-R.maf	1048	254	520	0.58	0.8	0.67	0.73
842348~055-R	842348~055-R.maf	2669	101	780	0.75	0.96	0.77	0.86
845534~334-R	845534~334-R.maf	1058	74	619	0.6	0.93	0.63	0.75
848979~319-R	848979~319-R.maf	1297	71	659	0.64	0.95	0.66	0.78
849917~123-R	849917~123-R.maf	1456	70	332	0.78	0.95	0.81	0.88
862989~056-R	862989~056-R.maf	2873	419	897	0.69	0.87	0.76	0.81
863532~251-R	863532~251-R.maf	1193	145	2645	0.3	0.89	0.31	0.46
863886~044-R	863886~044-R.maf	1165	110	1015	0.51	0.91	0.53	0.67
864244~320-R	864244~320-R.maf	1207	108	625	0.62	0.92	0.66	0.77
868679~213-R	868679~213-R.maf	1095	178	550	0.6	0.86	0.67	0.75
869496~051-R	869496~051-R.maf	1302	169	705	0.6	0.89	0.65	0.75
873145~292-R	873145~292-R.maf	1209	96	645	0.62	0.93	0.65	0.77
873942~020-R	873942~020-R.maf	1129	99	598	0.62	0.92	0.65	0.76
874868~142-R	874868~142-R.maf	2479	113	578	0.78	0.96	0.81	0.88
875164~322-T	875164~322-T.maf	1636	275	956	0.57	0.86	0.63	0.73
876135~273-R	876135~273-R.maf	3411	70	593	0.84	0.98	0.85	0.91
877282~077-R	877282~077-R.maf	1589	47	581	0.72	0.97	0.73	0.83
879694~015-R	879694~015-R.maf	1644	276	742	0.62	0.86	0.69	0.76
881428~146-R	881428~146-R.maf	1507	68	557	0.71	0.96	0.73	0.83
884544~143-R	884544~143-R.maf	1177	223	734	0.55	0.84	0.62	0.71
884782~307-R	884782~307-R.maf	1078	77	502	0.65	0.93	0.68	0.79
885512~296-R	885512~296-R.maf	1187	145	719	0.58	0.89	0.62	0.73
886662~343-R	886662~343-R.maf	1317	46	479	0.71	0.97	0.73	0.83
891969~043-R	891969~043-R.maf	1070	103	680	0.58	0.91	0.61	0.73
893448~089-R	893448~089-R.maf	1212	418	1247	0.42	0.74	0.49	0.59
897434~029-R	897434~029-R.maf	2779	8041	14464	0.11	0.26	0.16	0.2
899872~116-R	899872~116-R.maf	1272	74	724	0.61	0.95	0.64	0.76
899932~113-R3	899932~113-R3.maf	1315	45	503	0.71	0.97	0.72	0.83
899932~113-R5	899932~113-R5.maf	1329	65	498	0.7	0.95	0.73	0.83
899932~113-R6	899932~113-R6.maf	1318	42	522	0.7	0.97	0.72	0.82
899932~113-R7	899932~113-R7.maf	1301	63	472	0.71	0.95	0.73	0.83
899932~113-R8	899932~113-R8.maf	1340	49	492	0.71	0.96	0.73	0.83
911461~104-R	911461~104-R.maf	1242	52	662	0.63	0.96	0.65	0.78
913389~277-R	913389~277-R.maf	1259	63	566	0.67	0.95	0.69	0.8
918122~036-R	918122~036-R.maf	1211	45	323	0.77	0.96	0.79	0.87
919269~233-R3	919269~233-R3.maf	1215	63	518	0.68	0.95	0.7	0.81
919269~233-R4	919269~233-R4.maf	1126	117	606	0.61	0.91	0.65	0.76
931267~113-T	931267~113-T.maf	1417	122	591	0.67	0.92	0.71	0.8
933738~175-T	933738~175-T.maf	967	220	449	0.59	0.81	0.68	0.74
936559~144-R	936559~144-R.maf	1205	132	621	0.62	0.9	0.66	0.76
941728~121-R	941728~121-R.maf	1048	203	796	0.51	0.84	0.57	0.68
942848~086-R	942848~086-R.maf	1248	72	589	0.65	0.95	0.68	0.79
943836~067-R	943836~067-R.maf	1171	97	564	0.64	0.92	0.67	0.78
944381~210-T	944381~210-T.maf	3094	191	614	0.79	0.94	0.83	0.88
944545~341-R	944545~341-R.maf	1222	174	601	0.61	0.88	0.67	0.76
946996~313-R	946996~313-R.maf	1132	149	669	0.58	0.88	0.63	0.73
947675~243-R	947675~243-R.maf	1283	91	523	0.68	0.93	0.71	0.81
947725~317-R	947725~317-R.maf	1228	138	518	0.65	0.9	0.7	0.79
947758~054-R	947758~054-R.maf	2244	169	1862	0.52	0.93	0.55	0.69
949626~316-R	949626~316-R.maf	1189	62	496	0.68	0.95	0.71	0.81
